Stage Name,Day,Artist(s),Start Time,End Time
"West Holts Stage",SATURDAY,"THE SKATALITES",13:00,14:00
"West Holts Stage",SATURDAY,"47SOUL",11:30,12:30
"West Holts Stage",SUNDAY,"JUSTICE",22:00,23:15
"West Holts Stage",SUNDAY,"NIA ARCHIVES",20:00,21:00
"West Holts Stage",SUNDAY,"BRITTANY HOWARD",18:30,19:30
"West Holts Stage",SUNDAY,"JORDAN RAKEI",17:00,18:00
"West Holts Stage",SUNDAY,"STEEL PULSE",15:30,16:30
"West Holts Stage",SUNDAY,"BALMING TIGER",14:00,15:00
"West Holts Stage",SUNDAY,"JALEN NGONDA",12:30,13:30
"West Holts Stage",SUNDAY,"MATTHEW HALSALL",11:00,12:00
"Woodsies",FRIDAY,"JAMIE XX",22:30,23:45
"Woodsies",FRIDAY,"SAMPHA",21:00,22:00
"Woodsies",FRIDAY,"DECLAN MCKENNA",19:30,20:30
"Woodsies",FRIDAY,"ARLO PARKS",18:00,19:00
"Woodsies",FRIDAY,"THE VACCINES",16:30,17:30
"Woodsies",FRIDAY,"KENYA GRACE",15:15,16:00
"Woodsies",FRIDAY,"REMI WOLF",14:00,14:45
"Woodsies",FRIDAY,"LAMBRINI GIRLS",12:45,13:30
"Woodsies",FRIDAY,"VOICE OF BACEPROT",11:30,12:15
"Woodsies",SATURDAY,"GOSSIP",22:30,23:45
"Woodsies",SATURDAY,"SLEAFORD MODS",21:00,22:00
"Woodsies",SATURDAY,"YARD ACT",19:30,20:30
"Woodsies",SATURDAY,"TBA",18:00,19:00
"Woodsies",SATURDAY,"FAT WHITE FAMILY",16:30,17:30
"Woodsies",SATURDAY,"SOCCER MOMMY",15:15,16:00
"Woodsies",SATURDAY,"MANNEQUIN PUSSY",14:00,14:45
"Woodsies",SATURDAY,"HIGH VIS",12:45,13:30
"Woodsies",SATURDAY,"KNEECAP",11:30,12:15
"Woodsies",SUNDAY,"JAMES BLAKE",21:30,22:45
"Woodsies",SUNDAY,"ROMY",20:00,21:00
"Woodsies",SUNDAY,"KIM GORDON",18:30,19:30
"Woodsies",SUNDAY,"ALVVAYS",17:00,18:00
"Woodsies",SUNDAY,"BLONDSHELL",15:30,16:30
"Woodsies",SUNDAY,"NEWDAD",14:00,15:00
"Woodsies",SUNDAY,"THE KS",12:30,13:30
"Woodsies",SUNDAY,"JAYAHADADREAM",11:15,12:00
"The Park Stage",FRIDAY,"FONTAINES D.C.",23:00,00:15
"The Park Stage",FRIDAY,"KING KRULE",21:15,22:15
"The Park Stage",FRIDAY,"AURORA",19:30,20:30
"The Park Stage",FRIDAY,"DEXYS",18:00,19:00
"The Park Stage",FRIDAY,"THIS IS THE KIT",16:30,17:30
"The Park Stage",FRIDAY,"THE MARY WALLOPERS",15:15,16:00
"The Park Stage",FRIDAY,"BARRY CAN'T SWIM",14:00,14:45
"The Park Stage",FRIDAY,"MOONCHILD SANELLY",12:45,13:30
"The Park Stage",FRIDAY,"VOICE PIECE FOR VOCAL SOPRANO PERFORMED BY BISHI ",12:25,12:40
"The Park Stage",FRIDAY,"LYNKS",11:30,12:10
"The Park Stage",FRIDAY,"JOE WICKS",10:00,10:30
"The Park Stage",SATURDAY,"PEGGY GOU",23:00,00:15
"The Park Stage",SATURDAY,"ORBITAL",21:15,22:15
"The Park Stage",SATURDAY,"THE BREEDERS",19:30,20:30
"The Park Stage",SATURDAY,"LANKUM",18:00,19:00
"The Park Stage",SATURDAY,"AROOJ AFTAB",16:30,17:30
"The Park Stage",SATURDAY,"OTOBOKE BEAVER",15:15,16:00
"The Park Stage",SATURDAY,"BAR ITALIA",14:00,14:45
"The Park Stage",SATURDAY,"KARA JACKSON",12:45,13:30
"The Park Stage",SATURDAY,"JOHNNY FLYNN",11:10,12:10
"The Park Stage",SUNDAY,"LONDON GRAMMAR",21:15,22:30
"The Park Stage",SUNDAY,"GHETTS",19:30,20:30
"The Park Stage",SUNDAY,"MOUNT KIMBIE",18:00,19:00
"The Park Stage",SUNDAY,"BAXTER DURY",16:30,17:30
"The Park Stage",SUNDAY,"MDOU MOCTAR",15:15,16:00
"The Park Stage",SUNDAY,"PSYCHEDELIC PORN CRUMPETS",14:00,14:45
"The Park Stage",SUNDAY,"LIME GARDEN",12:45,13:30
"The Park Stage",SUNDAY,"PROBLEM PATTERNS",11:30,12:15
"Acoustic Stage",FRIDAY,"THE BOOTLEG BEATLES",21:30,22:45
"Acoustic Stage",FRIDAY,"SCOUTING FOR GIRLS",20:00,21:00
"Acoustic Stage",FRIDAY,"TANITA TIKARAM",18:30,19:30
"Acoustic Stage",FRIDAY,"DERVISH",17:00,18:00
"Acoustic Stage",FRIDAY,"STORNOWAY",16:00,16:40
"Acoustic Stage",FRIDAY,"RED HOT CHILLI PIPERS",15:00,15:40
"Acoustic Stage",FRIDAY,"JOSH ROUSE",14:00,14:40
"Acoustic Stage",FRIDAY,"ANGIE MCMAHON",13:00,13:40
"Acoustic Stage",FRIDAY,"JOHN SMITH",12:10,12:40
"Acoustic Stage",FRIDAY,"THE BURMA",11:30,12:00
"Acoustic Stage",SATURDAY,"OCEAN COLOUR SCENE",21:30,22:45
"Acoustic Stage",SATURDAY,"RALPH  MCTELL",20:00,21:00
"Acoustic Stage",SATURDAY,"RUSSELL CROWE'S INDOOR GARDEN PARTY",18:30,19:30
"Acoustic Stage",SATURDAY,"THE MANFREDS
FEATURING PAUL JONES & MIKE D’ABO",17:00,18:00
"Acoustic Stage",SATURDAY,"ALBERT LEE",16:00,16:40
"Acoustic Stage",SATURDAY,"FUN LOVIN’ CRIME WRITERS
WITH MARK BILLINGHAM, CHRIS BROOKMYRE, DOUG JOHNSTONE, VAL MCDERMID, STUART NEVILLE & LUCA VESTE",15:00,15:40
"Acoustic Stage",SATURDAY,"PAUL CASEY",14:00,14:40
"Acoustic Stage",SATURDAY,"JESSIE REID",13:00,13:40
"Acoustic Stage",SATURDAY,"RYAN MCMULLAN",12:10,12:40
"Acoustic Stage",SATURDAY,"JADA STAR",11:30,12:00
"Acoustic Stage",SUNDAY,"GIPSY KINGS
FEATURING TONINO BALIARDO",21:30,22:45
"Acoustic Stage",SUNDAY,"JUDY COLLINS",20:00,21:00
"Acoustic Stage",SUNDAY,"LONDON COMMUNITY GOSPEL CHOIR",18:30,19:30
"Acoustic Stage",SUNDAY,"SONGWRITERS ARC
CHRIS DIFFORD
WITH BETH NIELSEN CHAPMAN, GUY CHAMBERS, SID GRIFFIN & JESSIE REID",17:00,18:00
"Acoustic Stage",SUNDAY,"BERNARD BUTLER",15:55,16:45
"Acoustic Stage",SUNDAY,"KATYA",15:00,15:40
"Acoustic Stage",SUNDAY,"GRACE PETRIE",14:00,14:40
"Acoustic Stage",SUNDAY,"NADIA KADEK (ETC FINALIST)",13:00,13:40
"Acoustic Stage",SUNDAY,"FRANKIE ARCHER",12:10,12:40
"Acoustic Stage",SUNDAY,"TOBY LEE",11:30,12:00
"Avalon Stage",FRIDAY,"SKINDRED",23:05,00:20
"Avalon Stage",FRIDAY,"KATE NASH",21:35,22:35
"Avalon Stage",FRIDAY,"HAIRCUT 100",20:05,21:05
"Avalon Stage",FRIDAY,"LULU",18:35,19:35
"Avalon Stage",FRIDAY,"FRANK TURNER",17:05,18:05
"Avalon Stage",FRIDAY,"BILLIE MARTEN",15:40,16:40
"Avalon Stage",FRIDAY,"THE DEEP BLUE",14:20,15:10
"Avalon Stage",FRIDAY,"THE BAR-STEWARD SONS OF VAL DOONICAN",13:00,13:50
"Avalon Stage",SATURDAY,"NEW MODEL ARMY",23:10,00:20
"Avalon Stage",SATURDAY,"NEWTON FAULKNER",21:40,22:40
"Avalon Stage",SATURDAY,"SHAZNAY LEWIS",20:10,21:10
"Avalon Stage",SATURDAY,"BC CAMPLIGHT",18:40,19:40
"Avalon Stage",SATURDAY,"FLYTE",17:10,18:10
"Avalon Stage",SATURDAY,"LUCY SPRAGGAN",15:40,16:40
"Avalon Stage",SATURDAY,"CUT CAPERS",14:15,15:10
"Avalon Stage",SATURDAY,"ELLES BAILEY",12:50,13:45
"Avalon Stage",SATURDAY,"OLD TIME SAILORS",11:30,12:20
"Avalon Stage",SUNDAY,"THE FEELING",22:50,23:50
"Avalon Stage",SUNDAY,"CAITY BASER",21:20,22:20
"Avalon Stage",SUNDAY,"THE CAT EMPIRE",19:55,20:55
"Avalon Stage",SUNDAY,"BABY QUEEN",18:20,19:20
"Avalon Stage",SUNDAY,"THE GO! TEAM",16:50,17:50
"Avalon Stage",SUNDAY,"THE SCRATCH",15:25,16:20
"Avalon Stage",SUNDAY,"TOYAH & ROBERT",13:55,14:55
"Avalon Stage",SUNDAY,"KINGFISHR",12:35,13:25
"Avalon Stage",SUNDAY,"THE AYOUB SISTERS",11:30,12:10
"Left Field",FRIDAY,"BILLY BRAGG",21:00,22:00
"Left Field",FRIDAY,"SPRINTS",19:50,20:30
"Left Field",FRIDAY,"SEB LOWE",18:40,19:20
"Left Field",FRIDAY,"BIG SPECIAL",17:35,18:10
"Left Field",FRIDAY,"TRAMPOLENE",16:30,17:05
"Left Field",FRIDAY,"RADICAL ROUND UP:  BILLY BRAGG, BOW ANDERSON, CHARLOTTE CHURCH",15:00,16:00
"Left Field",FRIDAY,"DEBATES: ISRAEL PALESTINE: HOPE AND SOLIDARITY IN ACTION WITH AHMED ALNAOUQ, NA'AMOD, RACHEL SHABI, SHAISTA AZIZ, JOHN HARRIS",13:30,14:30
"Left Field",FRIDAY,"DEBATES: TRANS LIBERATION NOW! WITH HIBA NOOR, NOAH LONERGAN, SABAH CHOUDREY, TRAVIS ALABANZA, SHON FAYE",12:00,13:00
"Left Field",SATURDAY,"BILLY NOMATES",21:00,22:00
"Left Field",SATURDAY,"ENGLISH TEACHER",19:50,20:30
"Left Field",SATURDAY,"LOUIS DUNFORD",18:40,19:20
"Left Field",SATURDAY,"CALUM BOWIE",17:35,18:10
"Left Field",SATURDAY,"47SOUL",16:30,17:05
"Left Field",SATURDAY,"RADICAL ROUND UP:  BILLY BRAGG, HANK WANGFORD, TAMZENE",15:00,16:00
"Left Field",SATURDAY,"DEBATES: ELECTION 2024: A CHANGE IS GONNA COME WITH DANNY SRISKANDARAJAH, FRANCES FOLEY, TRACY BRABIN, STEPHEN BUSH, JOHN HARRIS",13:30,14:30
"Left Field",SATURDAY,"DEBATES: POST OFFICE SCANDAL: REIMAGINING JUSTICE WITH CHRISTOPHER HEAD FORMER POSTMASTER, KATE OSBORNE MP, KOJO KORAM, WHY ME? MINNIE RAHMAN",12:00,13:00
"Left Field",SUNDAY,"BOB VYLAN",21:00,22:00
"Left Field",SUNDAY,"THE FARM",19:45,20:30
"Left Field",SUNDAY,"LOTTERY WINNERS",18:35,19:15
"Left Field",SUNDAY,"WILL VARLEY",17:30,18:10
"Left Field",SUNDAY,"PILLOW QUEENS",16:30,17:00
"Left Field",SUNDAY,"RADICAL ROUND UP:  BILLY BRAGG, STEVE KNIGHTLEY, JACK JONES",15:00,16:00
"Left Field",SUNDAY,"DEBATES: HOW TO END THE HOUSING CRISIS  WITH ANDY BURNHAM, KWAJO TWENEBOA, LONDON RENTER'S UNION, MUSEUM OF HOMELESSNESS, JOHN HARRIS",13:30,14:30
"Left Field",SUNDAY,"DEBATES: SMALL BOATS: SAFE ROUTES AND SOLIDARITY WITH BIBBY STOCKHOLM CAMPAIGNER, NADIA WHITTOME MP, RAINBOW MIGRATION, SURVIVORS SPEAK OUT, MINNIE RAHMAN",12:00,13:00
"Arcadia",FRIDAY,"AMELIE LENS",01:50,03:00
"Arcadia",FRIDAY,"HAAI B2B KI/KI",00:45,01:50
"Arcadia",FRIDAY,"JOY ORBISON",23:40,00:40
"Arcadia",FRIDAY,"ARCADIA AND THE WHADJUK NOONGAR - WARRALOO CEREMONY",23:30,23:40
"Arcadia",FRIDAY,"FATBOY SLIM",22:00,23:30
"Arcadia",SATURDAY,"ERIC PRYDZ",02:00,03:00
"Arcadia",SATURDAY,"HOT CHIP (DJ SET)",00:45,02:00
"Arcadia",SATURDAY,"JOY (ANONYMOUS) B2B SALUTE",23:45,00:45
"Arcadia",SATURDAY,"ARCADIA AND THE WHADJUK NOONGAR - WARRALOO CEREMONY",23:35,23:45
"Arcadia",SATURDAY,"BARRY CANT SWIM",22:35,23:35
"Arcadia",SATURDAY,"SHYGIRL PRESENTS CLUB SHY",21:45,22:30
"Arcadia",SATURDAY,"SARAH STORY",21:00,21:45
"Arcadia",SUNDAY,"ANDY C FT TONN PIPER",01:30,02:30
"Arcadia",SUNDAY,"HEDEX B2B BOU FT B LIVE 247 & EKSMAN",00:30,01:30
"Arcadia",SUNDAY,"A LITTLE SOUND",23:40,00:30
"Arcadia",SUNDAY,"ARCADIA AND THE WHADJUK NOONGAR - WARRALOO CEREMONY",23:30,23:40
"Arcadia",SUNDAY,"MANDIDEXTROUS B2B [IVY]",22:30,23:30
"Arcadia",SUNDAY,"LENS",21:30,22:30
"Arcadia",SUNDAY,"HOSPITAL SHOWCASE FT ANAIS B2B HOAX B2B UNGLUED FT RUTHLESS",20:00,21:30
"Levels",THURSDAY,"DOVE",01:30,03:00
"Levels",THURSDAY,"SHYGIRL PRESENTS CLUB SHY",00:00,01:30
"Levels",THURSDAY,"MIA KODEN B2B TASH LC",22:30,00:00
"Levels",THURSDAY,"JOY ORBISON",21:00,22:30
"Levels",THURSDAY,"DR BANANA X LUKAS WIGFLEX",19:30,21:00
"Levels",THURSDAY,"OK WILLIAMS B2B TAI LOKUN",18:00,19:30
"Levels",FRIDAY,"OPTIMO [ESPACIO]",01:30,03:00
"Levels",FRIDAY,"CHARLI XCX PRESENTS PARTYGIRL",00:30,01:30
"Levels",FRIDAY,"KELLY LEE OWENS [DJ]",23:00,00:30
"Levels",FRIDAY,"ANOTR",21:30,23:00
"Levels",FRIDAY,"BONOBO [DJ]",19:30,21:30
"Levels",FRIDAY,"I. JORDAN",18:00,19:30
"Levels",FRIDAY,"ROMY [DJ]",16:30,18:00
"Levels",FRIDAY,"MIDLAND",15:00,16:30
"Levels",FRIDAY,"NIGHTMARES ON WAX [DJ]",12:00,15:00
"Levels",SATURDAY,"BEN HEMSLEY",01:30,03:00
"Levels",SATURDAY,"SKREAM",00:00,01:30
"Levels",SATURDAY,"JAMIE JONES",22:30,00:00
"Levels",SATURDAY,"CARLITA",21:00,22:30
"Levels",SATURDAY,"ALISHA B2B ARCHIE HAMILTON",19:30,21:00
"Levels",SATURDAY,"EATS EVERYTHING B2B GROOVE ARMADA",18:00,19:30
"Levels",SATURDAY,"ARIELLE FREE",16:30,18:00
"Levels",SATURDAY,"DAN SHAKE B2B LOVEFOXY",15:00,16:30
"Levels",SATURDAY,"A FOR ALPHA",13:30,15:00
"Levels",SATURDAY,"ARLO B2B LULAH FRANCS",12:00,13:30
"Levels",SUNDAY,"DR DUBPLATE B2B TODD EDWARDS",01:00,02:30
"Levels",SUNDAY,"GIRLS DON'T SYNC",23:30,01:00
"Levels",SUNDAY,"JYOTY X LIL SILVA X SAMPHA [DJ]",21:00,23:30
"Levels",SUNDAY,"SAMMY VIRJI",20:00,21:00
"Levels",SUNDAY,"INTERPLANETARY CRIMINAL",18:30,20:00
"Levels",SUNDAY,"Y U QT",17:00,18:30
"Levels",SUNDAY,"CLIPZ",16:00,17:00
"Levels",SUNDAY,"SHY FX",15:00,16:00
"Levels",SUNDAY,"DISMANTLE B2B EMERALD",13:30,15:00
"Levels",SUNDAY,"AÆE B2B FONZO",12:00,13:30
"Lonely Hearts Club",THURSDAY,"AHADADREAM B2B NIKKI NAIR B2B RAJI RAGS [DIALLED IN TAKEOVER]",01:00,03:00
"Lonely Hearts Club",THURSDAY,"GRACIE T B2B SHIVUM SHARMA [DIALLED IN TAKEOVER]",23:45,01:00
"Lonely Hearts Club",THURSDAY,"ALMASS BADAT B2B ARTHI [DIALLED IN TAKEOVER]",22:30,23:45
"Lonely Hearts Club",THURSDAY,"SONIQUE [DJ] [TAYLAH ELAINE & FRIENDS]",21:30,22:30
"Lonely Hearts Club",THURSDAY,"LADY SHAKA [TAYLAH ELAINE & FRIENDS]",20:30,21:30
"Lonely Hearts Club",THURSDAY,"TAYLAH ELAINE [TAYLAH ELAINE & FRIENDS]",19:30,20:30
"Lonely Hearts Club",THURSDAY,"SKREAM & BENGA",18:00,19:30
"Lonely Hearts Club",FRIDAY,"GORGON CITY",01:00,03:00
"Lonely Hearts Club",FRIDAY,"SONNY FODERA",23:30,01:00
"Lonely Hearts Club",FRIDAY,"SG LEWIS + TOVE LO: CLUB HEAT",21:30,23:30
"Lonely Hearts Club",FRIDAY,"ELIZA ROSE [LIVE]",20:30,21:30
"Lonely Hearts Club",FRIDAY,"CRAZY P [LIVE]",19:15,20:15
"Lonely Hearts Club",FRIDAY,"THE SILHOUETTES PROJECT",17:45,18:45
"Lonely Hearts Club",FRIDAY,"KOJAQUE",16:15,17:15
"Lonely Hearts Club",FRIDAY,"GRACE CARTER",15:00,16:00
"Lonely Hearts Club",FRIDAY,"FLOWEROVLOVE",13:30,14:30
"Lonely Hearts Club",FRIDAY,"OLIVIA NELSON",12:00,13:00
"Lonely Hearts Club",SATURDAY,"CHARLIE TEE B2B SOTA",02:00,03:00
"Lonely Hearts Club",SATURDAY,"K MOTIONZ B2B FRICTION",00:30,02:00
"Lonely Hearts Club",SATURDAY,"WILKINSON",23:30,00:30
"Lonely Hearts Club",SATURDAY,"ISSEY CROSS",22:55,23:25
"Lonely Hearts Club",SATURDAY,"CHARLOTTE PLANK",22:15,22:45
"Lonely Hearts Club",SATURDAY,"20 YRS OF SHOGUN FT MONRROE, POLA & BRYSON, JAEVON, EMILIY MAKIS, DUSKEE",20:15,22:15
"Lonely Hearts Club",SATURDAY,"EMZ",19:30,20:00
"Lonely Hearts Club",SATURDAY,"CASISDEAD",18:30,19:15
"Lonely Hearts Club",SATURDAY,"LORD APEX",17:30,18:15
"Lonely Hearts Club",SATURDAY,"ANTONY SZMIEREK",16:30,17:15
"Lonely Hearts Club",SATURDAY,"CAITY BASER",15:15,16:00
"Lonely Hearts Club",SATURDAY,"BLANCO",14:15,14:45
"Lonely Hearts Club",SATURDAY,"RAGZ ORIGINALE",13:15,14:00
"Lonely Hearts Club",SATURDAY,"CALEB KUNLE",12:00,12:45
"Lonely Hearts Club",SUNDAY,"ENZO SIRAGUSA B2B TRAUMER [FUSE TAKEOVER]",00:30,02:30
"Lonely Hearts Club",SUNDAY,"LAUREN LO SUNG [FUSE TAKEOVER]",23:15,00:30
"Lonely Hearts Club",SUNDAY,"ROSSI. [FUSE TAKEOVER]",22:00,23:15
"Lonely Hearts Club",SUNDAY,"PARANOID LONDON [LIVE]",21:00,22:00
"Lonely Hearts Club",SUNDAY,"FAT DOG",19:45,20:45
"Lonely Hearts Club",SUNDAY,"HAK BAKER",18:15,19:15
"Lonely Hearts Club",SUNDAY,"ELKKA [LIVE]",16:45,17:45
"Lonely Hearts Club",SUNDAY,"PORIJ",15:30,16:30
"Lonely Hearts Club",SUNDAY,"HOLYSSEUS FLY",14:00,15:00
"Assembly",THURSDAY,"DECIUS [LIVE]",02:00,03:00
"Assembly",THURSDAY,"DRESDEN [IVAN SMAGGHE & MANFREDAS]",00:15,01:45
"Assembly",THURSDAY,"DAVE HARVEY B2B FELIX DICKINSON",22:30,00:15
"Assembly",THURSDAY,"SUGAR FREE B2B FONTE",21:00,22:30
"Assembly",THURSDAY,"RED LAZER DISCO",19:30,21:00
"Assembly",THURSDAY,"DAR DISKU B2B NABIHAH IQBAL",18:00,19:30
"Assembly",FRIDAY,"PALMS TRAX",01:00,03:00
"Assembly",FRIDAY,"FANTASTIC MAN B2B TORNADO WALLACE",23:30,01:00
"Assembly",FRIDAY,"KT",22:00,23:30
"Assembly",FRIDAY,"COAST 2 COAST [GENE & THE GHOST]",20:00,22:00
"Assembly",FRIDAY,"BRADLEY ZERO [10 YEARS OF RHYTHM SECTION]",18:00,20:00
"Assembly",FRIDAY,"CHAOS IN THE CBD [10 YEARS OF RHYTHM SECTION]",16:00,18:00
"Assembly",FRIDAY,"SALLY C [10 YEARS OF RHYTHM SECTION]",14:30,16:00
"Assembly",FRIDAY,"CC:DISCO [10 YEARS OF RHYTHM SECTION]",13:00,14:30
"Assembly",FRIDAY,"MLE B2B JERRY [10 YEARS OF RHYTHM SECTION]",12:00,13:00
"Assembly",SATURDAY,"CRAIG RICHARDS",01:00,03:00
"Assembly",SATURDAY,"CHEZ DE MILO B2B ELLIE STOKES",23:30,01:00
"Assembly",SATURDAY,"UNAI TROTTI",22:00,23:30
"Assembly",SATURDAY,"AMALIAH B2B DANIELLE",20:00,22:00
"Assembly",SATURDAY,"HAAI B2B SAOIRSE [BODYMOVEMENTS TAKEOVER]",18:00,20:00
"Assembly",SATURDAY,"JOB JOBSE [BODYMOVEMENTS TAKEOVER]",16:00,18:00
"Assembly",SATURDAY,"GABRIELLE KWARTENG B2B SHANTI CELESTE [BODYMOVEMENTS TAKEOVER]",14:00,16:00
"Assembly",SATURDAY,"FAFF [BODYMOVEMENTS TAKEOVER]",12:00,14:00
"Assembly",SUNDAY,"DJ STINGRAY 313",01:00,02:30
"Assembly",SUNDAY,"AURORA HALAL",23:30,01:00
"Assembly",SUNDAY,"PANGAEA B2B TASHA",22:00,23:30
"Assembly",SUNDAY,"FACTA & K LONE",20:00,22:00
"Assembly",SUNDAY,"CRAIG RICHARDS B2B FRANCESCO DEL GARDA [25 YEARS OF FABRIC]",18:00,20:00
"Assembly",SUNDAY,"NICOLA CRUZ [25 YEARS OF FABRIC]",16:00,18:00
"Assembly",SUNDAY,"OR:LA [25 YEARS OF FABRIC]",14:00,16:00
"Assembly",SUNDAY,"ANNA WALL B2B BOBBY. [25 YEARS OF FABRIC]",12:00,14:00
"Firmly Rooted",THURSDAY,"¥///0 $#£[[",00:00,03:00
"Firmly Rooted",THURSDAY,"NADINE NOOR [FOUNDATION FM TAKEOVER]",22:30,00:00
"Firmly Rooted",THURSDAY,"LAGOON FEMSHAYMA [FOUNDATION FM TAKEOVER]",21:00,22:30
"Firmly Rooted",THURSDAY,"EMMA KORANTEMA [FOUNDATION FM TAKEOVER]",19:30,21:00
"Firmly Rooted",THURSDAY,"SCARLETT O’MALLEY [FOUNDATION FM TAKEOVER]",18:00,19:30
"Firmly Rooted",FRIDAY,"DREEMS & JACOBY",02:00,03:00
"Firmly Rooted",FRIDAY,"TBA",01:00,02:00
"Firmly Rooted",FRIDAY,"APIENTO",00:00,01:00
"Firmly Rooted",FRIDAY,"LUKE UNA [É SOUL CULTURA TAKEOVER]",22:00,00:00
"Firmly Rooted",FRIDAY,"JAMZ SUPERNOVA [É SOUL CULTURA TAKEOVER]",20:00,22:00
"Firmly Rooted",FRIDAY,"DJ MILO [É SOUL CULTURA TAKEOVER]",18:00,20:00
"Firmly Rooted",FRIDAY,"ALEX NUT [15 YEARS OF EGLO]",16:00,18:00
"Firmly Rooted",FRIDAY,"SHY ONE [15 YEARS OF EGLO]",14:00,16:00
"Firmly Rooted",FRIDAY,"CHUNKY [15 YEARS OF EGLO]",12:00,14:00
"Firmly Rooted",SATURDAY,"YUSHH [SLEEP FELT FAR AWAY TAKEOVER]",02:00,03:00
"Firmly Rooted",SATURDAY,"DJ LAG [SLEEP FELT FAR AWAY TAKEOVER]",01:00,02:00
"Firmly Rooted",SATURDAY,"IDO PLUMES [SLEEP FELT FAR AWAY TAKEOVER]",00:00,01:00
"Firmly Rooted",SATURDAY,"MINTY B2B SEPIA [HOLD TIGHT RECORDS TAKEOVER]",23:00,00:00
